timestamp,original_artist,original_title,remix_info,platform,found_artist,found_title,url,price
,,Laura BCR “Afterhour”,Konstrukt,Bandcamp,"from How do I get to know you
                                                    Laura BCR",Laura BCR - Afterhour,https://konstruktlabel.bandcamp.com/track/laura-bcr-afterhour?from=search&search_item_id=4226993041&search_item_type=t&search_match_part=%3F&search_page_id=4546188324&search_page_no=1&search_rank=1&search_sig=5ae07588211011f256d04173cec2fd7b,
,,Gotshell “Espectros”,Analog Solutions,Bandcamp,"from ALUCINACIONES EP ASR 064
                                                    GOTSHELL",ESPECTROS,https://analogsolutions.bandcamp.com/track/espectros?from=search&search_item_id=3152002272&search_item_type=t&search_match_part=%3F&search_page_id=4546188740&search_page_no=1&search_rank=1&search_sig=f4ab745805676450f3309f091e1459ff,
,,Polygonia “Hamadryas” Amphinome,ara,Bandcamp,"from Living Patterns
                                                    Polygonia",Hamadryas Amphinome,https://polygonia.bandcamp.com/track/hamadryas-amphinome?from=search&search_item_id=907479432&search_item_type=t&search_match_part=%3F&search_page_id=4546189040&search_page_no=1&search_rank=1&search_sig=21a9d804ca67c5ec24db82457e0ffa34,
,,Gigi FM “Manas” (PST),Bambelabel,Bandcamp,"from Magnetite EP
                                                    GiGi FM",Manas (PST),https://gigifm.bandcamp.com/track/manas-pst?from=search&search_item_id=4187776081&search_item_type=t&search_match_part=%3F&search_page_id=4546189364&search_page_no=1&search_rank=1&search_sig=f4b4c1e1070f3cab5d4a74302f6d0fad,
,,Ike Release “Timeslip 1”,Protection,No results found,,,,
,,MadderModes “Mammet”,Unreleased,Bandcamp,MadderModes,SCP08 - Mammet,https://maddermodes.bandcamp.com/track/scp08-mammet?from=search&search_item_id=661246023&search_item_type=t&search_match_part=%3F&search_page_id=4546190060&search_page_no=1&search_rank=1&search_sig=9362d9a63f7e255501e239bb5e9c7eec,
,,Shjva “Warm”,Mana Abundance,Bandcamp,"from Spellweaver Compilation
                                                    Various",shjva - warm,https://manaabundance.bandcamp.com/track/shjva-warm?from=search&search_item_id=3397700214&search_item_type=t&search_match_part=%3F&search_page_id=4546190374&search_page_no=1&search_rank=1&search_sig=521ec2a8b7b2ab2ef8c7a683fd43964c,
,,Shjva “Warm”,Mana Abundance,Bandcamp,Shiva,Warm Space EP,https://cuelinerecords.bandcamp.com/album/warm-space-ep?from=search&search_item_id=2024141665&search_item_type=a&search_match_part=%3F&search_page_id=4546190374&search_page_no=1&search_rank=2&search_sig=68a172ad06861a6a9a6a59b39e409ea2,
,,Shjva “Warm”,Mana Abundance,Bandcamp,SHIVA CHILD,Choose Warm Polytasking Containments,https://shivachild.bandcamp.com/album/choose-warm-polytasking-containments?from=search&search_item_id=75365633&search_item_type=a&search_match_part=%3F&search_page_id=4546190374&search_page_no=1&search_rank=3&search_sig=f3355c5014016b77f9096692de09ec95,
,,Exos “Spællt”,X/OZ,Bandcamp,"from XOZ010: Q-Box Remix
                                                    Exos",Spællt,https://xozmusic.bandcamp.com/track/sp-llt?from=search&search_item_id=1334363804&search_item_type=t&search_match_part=%3F&search_page_id=4546190725&search_page_no=1&search_rank=1&search_sig=13bb891f8ceecdf2bd8d2a0b4a8cf5ac,
,,Exos “Spællt”,X/OZ,Bandcamp,"from XOZ010: Q-Box Remix
                                                    Exos",Spællt (Waage Remix),https://xozmusic.bandcamp.com/track/sp-llt-waage-remix?from=search&search_item_id=2790743778&search_item_type=t&search_match_part=%3F&search_page_id=4546190725&search_page_no=1&search_rank=2&search_sig=6c639f138996c3082162e149b99a07d7,
,,Ike Release “Timeslip 14”,Protection,No results found,,,,
,,Paradise 3001 “Jungle Drugstore Tool”,Bless You,No results found,,,,
,,Reel By Real “Karma” (Don Williams’ Night Transmission Remix),Mojuba Records,Bandcamp,"from Karma EP
                                                    Reel By Real",Karma (Don Williams' Night Transmission Remix),https://mojubarecords.bandcamp.com/track/karma-don-williams-night-transmission-remix?from=search&search_item_id=3365652571&search_item_type=t&search_match_part=%3F&search_page_id=4546191755&search_page_no=1&search_rank=1&search_sig=d123578dbc6b7d43cbf8ec0a89c910a7,
,,Tauceti “Hainan Cham”,Non Series,Bandcamp,"from Songhua
                                                    Tauceti",Hainan Cham,https://nonseries.bandcamp.com/track/hainan-cham?from=search&search_item_id=2249662622&search_item_type=t&search_match_part=%3F&search_page_id=4546192044&search_page_no=1&search_rank=1&search_sig=f1497ade501e64adbecd7e1362dc95dc,
,,Broken English Club “Coma”,Death & Leisure,Bandcamp,"from Nil By Mouth
                                                    BROKEN ENGLISH CLUB - DEATH & LEISURE",Coma,https://deathandleisure.bandcamp.com/track/coma?from=search&search_item_id=2169196310&search_item_type=t&search_match_part=%3F&search_page_id=4546192393&search_page_no=1&search_rank=1&search_sig=f5cccd665b2d3f4f60cd01f07e6b0802,
,,Antigone “The Mechanics” (Zadig Unreleased Remix),Construct Re-Form Records,Bandcamp,"from Support Ukraine
                                                    Antigone",The Mechanics (Zadig Unreleased Remix),https://zadig.bandcamp.com/track/the-mechanics-zadig-unreleased-remix?from=search&search_item_id=2905642938&search_item_type=t&search_match_part=%3F&search_page_id=4546192780&search_page_no=1&search_rank=1&search_sig=3a826830d6bb83803a400bf309eeef4b,
,,Patrik Skoog “Frontiers”,Parabel,No results found,,,,
,,J. F. Burma “Good Servant Bad Master”,Bunker New York,Bandcamp,"from 15 Years of The Bunker
                                                    J.F. Burma",Good Servant Bad Master,https://thebunkerny.bandcamp.com/track/good-servant-bad-master?from=search&search_item_id=785455256&search_item_type=t&search_match_part=%3F&search_page_id=4546193637&search_page_no=1&search_rank=1&search_sig=fa681ba03b71e4c52390a8e9207cb286,
,,Ike Release “Timeslip 13”,Protection,No results found,,,,
,,Unit Moebius – Die Ene Die Zweeft,,No results found,,,,
,,Alex Cortex – Kihon 8,,No results found,,,,
,,B12 – One Thing In My Mind,,No results found,,,,
,,Joel Graham (2) – Night,,No results found,,,,
,,Tom Dicicco – We Let Go,,No results found,,,,
,,Emmanuel Top – Resilient,,No results found,,,,
,,DJ Nobu – Dog Var,,No results found,,,,
,,Age – Parallelwelt,,No results found,,,,
,,Tilliander* & Svreca – 10AM Is When You Come To Me,,No results found,,,,
,,Carl Craig – Angel (Jerome Sydenham Deep Space Mix) Remix – Jerome Sydenham,,No results found,,,,
,,Jamal Moss – I'm Going To Gherk The Fuck Out Of You 1,,No results found,,,,
,,Alex Cortex – Replanted,,No results found,,,,
,,Consumer Watchdawgz – 1,,No results found,,,,
,,Air Liquide – Tanz Der Lemminge,,No results found,,,,
,,Autechre – Silverside,,No results found,,,,
